Sample,Time_us,Raw_u16,Voltage_V
0,212,24421,1.229714
1,1011,12595,0.634218
2,2013,35480,1.786587
3,3010,53725,2.705310
4,4014,30807,1.551279
5,5015,12627,0.635830
6,6008,35368,1.780948
7,7010,53773,2.707727
8,8012,30919,1.556919
9,9008,12787,0.643886
10,10012,35368,1.780948
11,11012,53693,2.703699
12,12014,30839,1.552891
13,13015,12627,0.635830
14,14008,35352,1.780142
15,15009,53773,2.707727
16,16011,31063,1.564170
17,17009,12611,0.635024
18,18012,35496,1.787393
19,19013,53725,2.705310
20,20014,30823,1.552085
21,21009,12627,0.635830
22,22010,35384,1.781753
23,23011,53773,2.707727
24,24012,30871,1.554502
25,25009,12595,0.634218
26,26013,35512,1.788199
27,27015,53661,2.702087
28,28009,31063,1.564170
29,29009,12595,0.634218
30,30010,35400,1.782559
31,31012,53677,2.702893
32,32013,30871,1.554502
33,33012,12627,0.635830
34,34013,35480,1.786587
35,35015,53709,2.704504
36,36008,31079,1.564976
37,37010,12643,0.636635
38,38012,35496,1.787393
39,39014,53677,2.702893
40,40008,30967,1.559336
41,41009,12627,0.635830
42,42014,35624,1.793838
43,43009,53709,2.704504
44,44010,30983,1.560142
45,45011,12547,0.631801
46,46012,35464,1.785782
47,47013,53709,2.704504
48,48015,30839,1.552891
49,49013,12627,0.635830
50,50015,35512,1.788199
51,51009,53773,2.707727
52,52010,30967,1.559336
53,53012,12659,0.637441
54,54013,35480,1.786587
55,55014,53709,2.704504
56,56008,31095,1.565782
57,57015,12627,0.635830
58,58008,35352,1.780142
59,59010,53709,2.704504
60,60011,31175,1.569810
61,61012,12611,0.635024
62,62014,35544,1.789810
63,63015,53757,2.706921
64,64008,30935,1.557725
65,65016,12643,0.636635
66,66011,35288,1.776919
67,67012,53741,2.706116
68,68015,30791,1.550474
69,69009,12627,0.635830
70,70010,35352,1.780142
71,71011,53741,2.706116
72,72013,30871,1.554502
73,73013,12643,0.636635
74,74015,35544,1.789810
75,75015,53725,2.705310
76,76009,30967,1.559336
77,77011,12563,0.632607
78,78012,35464,1.785782
79,79014,53725,2.705310
80,80008,31031,1.562559
81,81015,12627,0.635830
82,82010,35384,1.781753
83,83012,53725,2.705310
84,84013,30871,1.554502
85,85015,12627,0.635830
86,86009,35320,1.778530
87,87011,53773,2.707727
88,88012,30903,1.556114
89,89016,12643,0.636635
90,90011,35528,1.789004
91,91013,53661,2.702087
92,92014,30855,1.553696
93,93015,12595,0.634218
94,94009,35448,1.784976
95,95011,53869,2.712561
96,96013,30919,1.556919
97,97013,12547,0.631801
98,98015,35576,1.791421
99,99009,53709,2.704504
100,100011,30951,1.558531
