Sample,Time_us,Raw_u16,Voltage_V
244,244013,16067,0.809050
245,245015,40297,2.029146
246,246009,39177,1.972749
247,247010,16692,0.840522
248,248011,53821,2.710144
249,249015,16019,0.806633
250,250012,40153,2.021895
251,251013,39001,1.963886
252,252015,16852,0.848579
253,253009,53837,2.710950
254,254011,16163,0.813884
255,255012,40153,2.021895
256,256013,38937,1.960664
257,257010,16804,0.846162
258,258015,53837,2.710950
259,259009,16163,0.813884
260,260010,40025,2.015450
261,261012,38841,1.955830
262,262015,16868,0.849384
263,263009,53693,2.703699
264,264011,16131,0.812273
265,265008,39961,2.012227
266,266011,39065,1.967109
267,267013,16804,0.846162
268,268014,53837,2.710950
269,269015,16019,0.806633
270,270009,39993,2.013838
271,271011,39065,1.967109
272,272013,16724,0.842133
273,273010,53853,2.711756
274,274012,16211,0.816301
275,275014,40153,2.021895
276,276015,38905,1.959052
277,277009,16676,0.839716
278,278010,53821,2.710144
279,279012,16099,0.810661
280,280013,40153,2.021895
281,281011,39113,1.969526
282,282012,16772,0.844550
283,283014,53821,2.710144
284,284015,16067,0.809050
285,285009,39849,2.006587
286,286010,39145,1.971138
287,287012,16820,0.846967
288,288013,53821,2.710144
289,289012,16051,0.808244
290,290015,40281,2.028340
291,291011,39129,1.970332
292,292014,16852,0.848579
293,293015,53837,2.710950
294,294009,16195,0.815495
295,295011,40137,2.021090
296,296013,39049,1.966304
297,297011,16740,0.842939
298,298014,53805,2.709338
299,299015,16003,0.805827
300,300009,40009,2.014644
301,301009,39193,1.973554
302,302010,16836,0.847773
303,303011,53917,2.714978
304,304012,16083,0.809856
305,305011,40073,2.017867
306,306009,39001,1.963886
307,307013,16836,0.847773
308,308013,53837,2.710950
309,309008,16227,0.817107
310,310010,40089,2.018672
311,311012,39017,1.964692
312,312013,16804,0.846162
313,313013,53837,2.710950
314,314009,16211,0.816301
315,315010,40009,2.014644
316,316012,39049,1.966304
317,317013,16756,0.843745
318,318014,53869,2.712561
319,319015,16019,0.806633
320,320009,39977,2.013033
321,321008,39209,1.974360
322,322011,16804,0.846162
323,323012,53805,2.709338
324,324014,16051,0.808244
325,325015,40297,2.029146
326,326009,39161,1.971943
327,327010,16612,0.836493
328,328012,53789,2.708533
329,329012,16131,0.812273
330,330013,40185,2.023506
331,331014,38889,1.958247
332,332008,16660,0.838910
333,333009,53805,2.709338
334,334011,16131,0.812273
335,335012,40073,2.017867
336,336013,38969,1.962275
337,337013,16820,0.846967
338,338009,53853,2.711756
339,339010,16195,0.815495
340,340012,39977,2.013033
341,341013,38985,1.963081
342,342008,16660,0.838910
343,343010,53773,2.707727
344,344011,16147,0.813078
345,345011,40025,2.015450
346,346014,38921,1.959858
347,347009,16660,0.838910
348,348011,53869,2.712561
349,349012,16099,0.810661
350,350013,40121,2.020284
351,351015,38937,1.960664
352,352008,16644,0.838105
353,353014,53853,2.711756
354,354009,16211,0.816301
355,355011,40233,2.025924
356,356012,39113,1.969526
357,357013,16836,0.847773
358,358014,53821,2.710144
359,359009,16227,0.817107
360,360010,40025,2.015450
361,361011,39097,1.968720
362,362014,16900,0.850996
363,363016,53805,2.709338
364,364009,16179,0.814690
365,365011,40009,2.014644
366,366012,39129,1.970332
367,367013,16836,0.847773
368,368015,53805,2.709338
369,369009,16227,0.817107
370,370012,40121,2.020284
371,371013,38953,1.961469
372,372015,16852,0.848579
373,373009,53869,2.712561
374,374010,16179,0.814690
375,375011,40025,2.015450
376,376012,39065,1.967109
377,377013,16724,0.842133
378,378016,53853,2.711756
379,379010,16195,0.815495
380,380012,40057,2.017061
381,381013,38969,1.962275
382,382015,16884,0.850190
383,383009,53837,2.710950
384,384011,16099,0.810661
385,385014,40185,2.023506
386,386015,38937,1.960664
387,387010,16724,0.842133
388,388011,53821,2.710144
389,389012,16083,0.809856
390,390014,40217,2.025118
391,391016,38873,1.957441
392,392010,16548,0.833271
393,393014,53805,2.709338
394,394010,16099,0.810661
395,395011,40073,2.017867
396,396012,38889,1.958247
397,397014,16852,0.848579
398,398015,53821,2.710144
399,399009,16195,0.815495
400,400010,40057,2.017061
401,401012,38969,1.962275
402,402015,16788,0.845356
403,403009,53997,2.719006
404,404010,16147,0.813078
405,405011,40057,2.017061
406,406013,39081,1.967915
407,407014,16836,0.847773
408,408016,53789,2.708533
409,409012,16147,0.813078
410,410015,40217,2.025118
411,411009,39209,1.974360
412,412011,16644,0.838105
413,413012,53933,2.715784
414,414013,16259,0.818718
415,415014,40121,2.020284
416,416015,38937,1.960664
417,417010,16692,0.840522
418,418012,53805,2.709338
419,419014,16115,0.811467
420,420009,39881,2.008198
421,421010,39209,1.974360
422,422010,16676,0.839716
423,423011,53725,2.705310
424,424013,16067,0.809050
425,425015,40249,2.026729
426,426011,39145,1.971138
427,427013,16804,0.846162
428,428014,53805,2.709338
429,429009,16243,0.817913
430,430010,39961,2.012227
431,431011,39097,1.968720
432,432013,16836,0.847773
433,433016,53789,2.708533
434,434013,16083,0.809856
435,435015,40249,2.026729
436,436016,38841,1.955830
437,437010,16724,0.842133
438,438012,53773,2.707727
439,439013,16083,0.809856
440,440014,40201,2.024312
441,441010,39129,1.970332
442,442011,16740,0.842939
443,443013,53869,2.712561
444,444014,16051,0.808244
445,445008,39897,2.009004
446,446010,39145,1.971138
447,447012,16756,0.843745
448,448013,53693,2.703699
449,449010,16163,0.813884
450,450014,40201,2.024312
451,451016,38921,1.959858
452,452009,16676,0.839716
453,453011,53821,2.710144
454,454012,16115,0.811467
455,455013,40361,2.032369
456,456014,38873,1.957441
457,457012,16772,0.844550
458,458015,53821,2.710144
459,459010,16131,0.812273
460,460012,40057,2.017061
461,461013,38985,1.963081
462,462014,16852,0.848579
463,463009,53869,2.712561
464,464010,16211,0.816301
465,465015,40313,2.029952
466,466011,39241,1.975972
467,467013,16788,0.845356
468,468014,53901,2.714173
469,469015,16083,0.809856
470,470008,39817,2.004976
471,471009,39177,1.972749
472,472011,16820,0.846967
473,473009,53853,2.711756
474,474011,16115,0.811467
475,475013,40137,2.021090
476,476014,38937,1.960664
477,477015,16868,0.849384
478,478009,53869,2.712561
479,479010,16211,0.816301
480,480011,39945,2.011421
481,481010,39177,1.972749
482,482011,16772,0.844550
483,483013,53805,2.709338
484,484014,16083,0.809856
485,485008,39881,2.008198
486,486010,39129,1.970332
487,487011,16804,0.846162
488,488012,53805,2.709338
489,489009,16163,0.813884
490,490012,40073,2.017867
491,491014,38969,1.962275
492,492015,16884,0.850190
493,493008,53837,2.710950
494,494009,16291,0.820330
495,495011,40057,2.017061
496,496013,39001,1.963886
497,497011,16740,0.842939
498,498014,53949,2.716590
499,499008,16211,0.816301
500,500010,39913,2.009810
501,501012,39097,1.968720
502,502013,16724,0.842133
503,503015,53773,2.707727
504,504009,16211,0.816301
505,505015,40281,2.028340
506,506010,39081,1.967915
507,507012,16660,0.838910
508,508014,53805,2.709338
509,509015,16035,0.807439
510,510009,39929,2.010616
511,511011,39049,1.966304
512,512011,16724,0.842133
513,513009,53837,2.710950
514,514011,16179,0.814690
515,515013,40137,2.021090
516,516014,38969,1.962275
517,517009,16692,0.840522
518,518010,53901,2.714173
519,519011,16195,0.815495
520,520013,40089,2.018672
521,521012,39081,1.967915
522,522015,16868,0.849384
523,523009,53853,2.711756
524,524011,16083,0.809856
525,525012,40057,2.017061
526,526013,38953,1.961469
527,527015,16852,0.848579
528,528010,53917,2.714978
529,529010,16179,0.814690
530,530014,40217,2.025118
531,531010,39161,1.971943
532,532012,16772,0.844550
533,533013,53709,2.704504
534,534014,16147,0.813078
535,535015,40249,2.026729
536,536010,39177,1.972749
537,537010,16676,0.839716
538,538013,53917,2.714978
539,539014,16067,0.809050
540,540015,40217,2.025118
541,541016,38841,1.955830
542,542010,16660,0.838910
543,543011,53901,2.714173
544,544012,16275,0.819524
545,545012,40105,2.019478
546,546009,39161,1.971943
547,547010,16676,0.839716
548,548011,53789,2.708533
549,549013,16115,0.811467
550,550014,40217,2.025118
551,551015,38921,1.959858
552,552009,16644,0.838105
553,553009,53821,2.710144
554,554010,16259,0.818718
555,555011,40057,2.017061
556,556014,38937,1.960664
557,557008,16708,0.841327
558,558010,53837,2.710950
559,559011,16067,0.809050
560,560012,40009,2.014644
