Sample,Time_us,Raw_u16,Voltage_V
244,244009,47723,2.403081
245,245013,36184,1.822037
246,246009,23525,1.184596
247,247013,14675,0.738956
248,248009,12819,0.645498
249,249010,18836,0.948482
250,250009,30167,1.519052
251,251013,42890,2.159716
252,252009,51724,2.604550
253,253013,53677,2.702893
254,254009,47643,2.399052
255,255013,36168,1.821231
256,256010,23621,1.189430
257,257011,14675,0.738956
258,258008,12803,0.644692
259,259012,18740,0.943648
260,260008,30215,1.521469
261,261012,42794,2.154882
262,262009,51708,2.603744
263,263012,53581,2.698059
264,264009,47611,2.397441
265,265010,36184,1.822037
266,266008,23621,1.189430
267,267012,14643,0.737345
268,268009,12819,0.645498
269,269013,18804,0.946871
270,270009,30183,1.519858
271,271013,42874,2.158910
272,272010,51852,2.610996
273,273010,53549,2.696448
274,274015,47515,2.392607
275,275011,36184,1.822037
276,276008,23637,1.190236
277,277012,14691,0.739762
278,278008,12787,0.643886
279,279012,18788,0.946065
280,280008,30183,1.519858
281,281009,42842,2.157299
282,282014,51772,2.606967
283,283011,53533,2.695642
284,284015,47595,2.396635
285,285011,36184,1.822037
286,286008,23557,1.186207
287,287012,14659,0.738151
288,288008,12819,0.645498
289,289010,18756,0.944454
290,290009,30151,1.518247
291,291013,42858,2.158105
292,292010,51740,2.605356
293,293014,53501,2.694030
294,294010,47643,2.399052
295,295014,36120,1.818814
296,296010,23557,1.186207
297,297012,14627,0.736539
298,298011,12819,0.645498
299,299015,18964,0.954928
300,300011,30279,1.524692
301,301008,42794,2.154882
302,302012,51724,2.604550
303,303008,53565,2.697253
304,304012,47691,2.401470
305,305013,36152,1.820426
306,306011,23557,1.186207
307,307015,14723,0.741373
308,308012,12835,0.646303
309,309008,18724,0.942843
310,310012,30167,1.519052
311,311008,42794,2.154882
312,312012,51740,2.605356
313,313015,53661,2.702087
314,314013,47611,2.397441
315,315010,36232,1.824454
316,316014,23525,1.184596
317,317010,14675,0.738956
318,318014,12835,0.646303
319,319010,18788,0.946065
320,320014,30311,1.526303
321,321009,42810,2.155688
322,322015,51676,2.602133
323,323012,53613,2.699670
324,324008,47643,2.399052
325,325012,36232,1.824454
326,326008,23589,1.187819
327,327012,14675,0.738956
328,328009,12787,0.643886
329,329012,18820,0.947677
330,330010,30199,1.520664
331,331014,42890,2.159716
332,332011,51756,2.606162
333,333015,53629,2.700476
334,334011,47675,2.400664
335,335008,36264,1.826065
336,336012,23525,1.184596
337,337012,14627,0.736539
338,338010,12739,0.641469
339,339014,18804,0.946871
340,340010,30247,1.523081
341,341014,43018,2.166162
342,342011,51772,2.606967
343,343015,53581,2.698059
344,344011,47691,2.401470
345,345013,36104,1.818009
346,346011,23525,1.184596
347,347015,14627,0.736539
