Sample,Time_us,Raw_u16,Voltage_V
0,218,12563,0.632607
1,1015,23317,1.174122
2,2010,47355,2.384550
3,3013,51868,2.611801
4,4015,30439,1.532749
5,5010,12883,0.648720
6,6011,23237,1.170094
7,7013,47403,2.386967
8,8014,51852,2.610996
9,9009,30599,1.540806
10,10011,12867,0.647915
11,11014,23333,1.174928
12,12015,47435,2.388579
13,13009,51980,2.617441
14,14011,30535,1.537583
15,15012,12867,0.647915
16,16014,23253,1.170900
17,17011,47403,2.386967
18,18014,51852,2.610996
19,19015,30439,1.532749
20,20009,12851,0.647109
21,21011,23221,1.169288
22,22012,47387,2.386162
23,23013,51820,2.609384
24,24015,30455,1.533555
25,25012,12835,0.646303
26,26015,23381,1.177345
27,27008,47307,2.382133
28,28010,51916,2.614218
29,29012,30535,1.537583
30,30014,12851,0.647109
31,31015,23365,1.176539
32,32009,47339,2.383744
33,33014,51804,2.608578
34,34010,30599,1.540806
35,35012,12851,0.647109
36,36013,23285,1.172511
37,37014,47451,2.389384
38,38016,51868,2.611801
39,39009,30615,1.541611
40,40010,12883,0.648720
41,41010,23269,1.171705
42,42012,47355,2.384550
43,43013,51884,2.612607
44,44014,30455,1.533555
45,45008,12931,0.651138
46,46010,23205,1.168482
47,47011,47403,2.386967
48,48012,51884,2.612607
49,49011,30551,1.538389
50,50014,12851,0.647109
51,51015,23269,1.171705
52,52010,47371,2.385356
53,53011,51868,2.611801
54,54013,30535,1.537583
55,55014,12867,0.647915
56,56016,23413,1.178956
57,57014,47419,2.387773
58,58011,51884,2.612607
59,59012,30567,1.539194
60,60015,12867,0.647915
61,61008,23189,1.167677
62,62010,47259,2.379716
63,63012,51868,2.611801
64,64013,30551,1.538389
65,65013,12851,0.647109
66,66010,23237,1.170094
67,67013,47419,2.387773
68,68008,51884,2.612607
69,69010,30599,1.540806
70,70012,12867,0.647915
71,71013,23269,1.171705
72,72014,47435,2.388579
73,73014,51836,2.610190
74,74009,30535,1.537583
75,75011,12851,0.647109
76,76012,23253,1.170900
77,77013,47403,2.386967
78,78014,51820,2.609384
79,79008,30631,1.542417
80,80010,12867,0.647915
81,81010,23253,1.170900
82,82014,47387,2.386162
83,83010,51948,2.615830
84,84011,30583,1.540000
85,85013,12771,0.643081
86,86015,23349,1.175734
87,87009,47355,2.384550
88,88011,51884,2.612607
89,89014,30423,1.531943
90,90008,12883,0.648720
91,91009,23205,1.168482
92,92011,47419,2.387773
93,93013,51868,2.611801
94,94014,30487,1.535166
95,95009,12899,0.649526
96,96010,23173,1.166871
97,97009,47307,2.382133
98,98010,51868,2.611801
99,99011,30583,1.540000
100,100013,12867,0.647915
101,101014,23285,1.172511
102,102009,47307,2.382133
103,103010,51868,2.611801
104,104011,30551,1.538389
105,105011,12851,0.647109
106,106015,23365,1.176539
107,107009,47323,2.382939
108,108011,51916,2.614218
109,109012,30551,1.538389
110,110014,12819,0.645498
111,111015,23301,1.173316
112,112009,47387,2.386162
113,113010,51884,2.612607
114,114013,30535,1.537583
115,115015,12851,0.647109
116,116009,23205,1.168482
117,117010,47323,2.382939
118,118012,51900,2.613413
119,119014,30551,1.538389
120,120015,12883,0.648720
121,121009,23205,1.168482
122,122011,47227,2.378105
123,123012,51900,2.613413
124,124014,30487,1.535166
125,125008,12851,0.647109
126,126010,23189,1.167677
127,127012,47339,2.383744
128,128013,51900,2.613413
129,129009,30567,1.539194
130,130014,12835,0.646303
131,131008,23189,1.167677
132,132010,47403,2.386967
133,133011,51884,2.612607
134,134014,30567,1.539194
135,135015,12867,0.647915
136,136009,23157,1.166065
137,137009,47323,2.382939
138,138012,51788,2.607773
139,139013,30519,1.536777
140,140015,12835,0.646303
141,141009,23173,1.166871
142,142010,47323,2.382939
143,143012,51932,2.615024
144,144013,30535,1.537583
145,145015,12851,0.647109
146,146010,23141,1.165260
147,147011,47371,2.385356
148,148012,51884,2.612607
149,149013,30487,1.535166
150,150015,12803,0.644692
151,151009,23189,1.167677
152,152011,47355,2.384550
153,153012,51900,2.613413
154,154014,30471,1.534360
155,155015,12835,0.646303
156,156009,23189,1.167677
157,157010,47323,2.382939
158,158012,51852,2.610996
159,159013,30551,1.538389
160,160015,12867,0.647915
161,161011,23189,1.167677
162,162015,47531,2.393412
163,163012,51900,2.613413
164,164014,30503,1.535972
165,165008,12867,0.647915
166,166010,23157,1.166065
167,167011,47371,2.385356
168,168013,51820,2.609384
169,169016,30423,1.531943
170,170011,12883,0.648720
171,171013,23237,1.170094
172,172014,47403,2.386967
173,173009,51852,2.610996
174,174011,30551,1.538389
175,175012,12883,0.648720
176,176013,23301,1.173316
177,177010,47355,2.384550
178,178013,51836,2.610190
179,179008,30615,1.541611
180,180010,12851,0.647109
181,181013,23237,1.170094
182,182014,47435,2.388579
183,183008,51932,2.615024
184,184009,30615,1.541611
185,185011,12867,0.647915
186,186013,23253,1.170900
187,187015,47435,2.388579
188,188009,51932,2.615024
189,189010,30663,1.544028
190,190013,12851,0.647109
191,191014,23269,1.171705
192,192015,47483,2.390996
193,193010,51884,2.612607
194,194013,30503,1.535972
195,195015,12867,0.647915
196,196009,23189,1.167677
197,197011,47371,2.385356
198,198013,51900,2.613413
199,199014,30519,1.536777
200,200008,12899,0.649526
201,201012,23221,1.169288
202,202015,47371,2.385356
203,203008,51932,2.615024
204,204010,30599,1.540806
205,205011,12883,0.648720
206,206014,23301,1.173316
